City,Country,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed,Date
kodiak,US,57.79,-152.41,1,79,23.0,6.93,1607615768
pozhva,RU,59.09,56.08,0,90,11.73,1.7,1607615970
laiyang,CN,36.98,120.71,100,87,35.01,0.96,1607615970
provideniya,RU,64.38,-173.3,0,84,8.58,9.22,1607615970
tautira,PF,-17.73,-149.15,75,74,78.8,3.36,1607615970
bilma,NE,18.69,12.92,53,15,83.68,5.1,1607615970
vostok,RU,46.49,135.88,100,97,8.58,3.8,1607615971
nanortalik,GL,60.14,-45.24,73,82,28.22,2.77,1607615971
hambantota,LK,6.12,81.12,40,94,77.0,3.36,1607615971
marrakesh,MA,31.63,-8.01,29,52,68.0,3.36,1607615963
edson,CA,53.58,-116.44,1,85,17.6,3.85,1607615971
abbeville,FR,50.1,1.83,20,84,42.01,10.83,1607615843
ahipara,NZ,-35.17,173.17,100,91,60.24,6.55,1607615972
victoria,HK,22.29,114.16,91,85,68.0,5.01,1607615883
manakara,MG,-22.13,48.02,99,83,75.63,10.0,1607615972
bandarbeyla,SO,9.49,50.81,0,60,76.46,21.16,1607615972
hay river,GB,52.07,-3.13,100,93,46.0,5.99,1607615972
axim,GH,4.87,-2.24,45,76,82.33,9.17,1607615972
ishigaki,JP,24.34,124.16,91,88,74.19,20.98,1607615973
inhambane,MZ,-23.86,35.38,20,65,82.4,9.17,1607615973
altamira,BR,-3.2,-52.21,75,66,87.8,11.41,1607615973
marsabit,KE,2.33,37.99,57,67,69.3,8.39,1607615973
rawson,AR,-43.3,-65.1,13,19,81.25,14.88,1607615973
wajima,JP,37.4,136.9,62,73,51.8,10.04,1607615973
butaritari,KI,3.07,172.79,42,76,81.64,8.39,1607615974
mahibadhoo,MV,3.78,72.97,76,75,82.6,7.67,1607615974
kholodnyy,RU,62.72,147.95,100,82,-29.56,1.68,1607615974
launceston,AU,-41.45,147.17,34,70,48.0,8.05,1607615974
saint-augustin,CA,51.23,-58.65,99,93,33.21,8.52,1607615974
clyde river,US,41.3,-82.98,0,87,42.01,6.4,1607615974
tateyama,JP,34.98,139.87,40,93,48.2,3.36,1607615975
yumen,CN,40.28,97.2,45,89,18.82,12.84,1607615975
vanderhoof,CA,54.02,-124.02,100,97,22.44,2.82,1607615975
veraval,IN,20.9,70.37,71,73,76.08,2.3,1607615976
praia,CV,14.92,-23.51,75,51,80.6,19.46,1607615976
beyneu,KZ,45.32,55.2,2,93,20.21,5.95,1607615976
neckarsulm,DE,49.19,9.23,15,89,35.01,2.95,1607615977
aguia branca,BR,-6.5,-69.43,75,88,81.88,3.96,1607615977
tazovskiy,RU,67.47,78.7,0,87,-21.15,5.59,1607615977
matagami,CA,49.75,-77.63,90,100,26.6,6.93,1607615977
ust-ilimsk,RU,58.0,102.66,95,87,-18.06,4.09,1607615978
lorengau,PG,-2.02,147.27,86,72,82.71,6.11,1607615978
narsaq,GL,60.92,-46.05,5,34,21.2,1.12,1607615978
kirakira,SB,-10.45,161.92,49,81,78.98,2.91,1607615978
teya,RU,60.38,92.63,100,86,-13.11,2.46,1607615979
kaabong,UG,3.48,34.15,39,42,72.93,13.65,1607615979
kovernino,RU,57.13,43.81,27,93,16.56,5.57,1607615979
itarema,BR,-2.92,-39.92,76,54,87.6,15.68,1607615979
haines junction,US,59.23,-135.44,90,80,37.4,12.75,1607615979
nieuwpoort,BE,51.12,2.77,20,86,39.2,6.93,1607615979
marica,BR,-22.92,-42.82,90,94,82.99,4.7,1607615980
bambous virieux,MU,-20.26,57.41,75,69,77.0,13.87,1607615980
kawalu,ID,-7.38,108.21,100,88,75.51,1.97,1607615980
petrozavodsk,RU,61.78,34.35,0,85,10.4,2.24,1607615980
wuxi,CN,31.57,120.29,100,90,48.99,3.67,1607615981
lucea,JM,18.45,-78.17,75,78,81.0,13.87,1607615981
tura,IN,25.52,90.22,0,75,61.32,3.27,1607615890
rajur,IN,20.12,78.92,0,52,70.09,2.59,1607615981
barcelos,PT,41.54,-8.62,75,100,59.0,6.93,1607615981
lompoc,US,34.64,-120.46,90,87,50.0,4.7,1607615981
kyaikkami,MM,16.08,97.57,10,67,77.85,1.39,1607615982
khandyga,RU,62.67,135.6,100,86,-24.32,2.42,1607615982
doha,QA,25.29,51.53,0,56,73.4,8.05,1607615982
carnarvon,AU,-24.87,113.63,40,94,73.4,10.29,1607615982
quelimane,MZ,-17.88,36.89,20,66,84.2,13.87,1607615982
constantine,DZ,36.37,6.61,75,71,50.0,9.17,1607615982
beloha,MG,-25.17,45.05,62,65,78.93,9.84,1607615983
san ignacio,ML,13.3,-4.9,22,10,98.55,9.22,1607615938
suwalki,PL,54.11,22.93,97,97,25.66,14.5,1607615983
banda aceh,IN,25.48,80.33,0,45,68.25,2.86,1607615983
garden city,DE,53.69,12.05,90,92,33.01,10.29,1607615983
ocos,GT,14.51,-92.19,20,83,82.4,5.82,1607615983
ust-tsilma,RU,65.44,52.15,12,94,19.81,8.72,1607615984
council bluffs,US,44.73,-116.44,0,88,27.41,4.45,1607615984
turukhansk,RU,65.82,87.98,78,86,-20.79,3.02,1607615984
eregli,TR,37.51,34.05,0,58,44.85,1.9,1607615984
coihaique,CL,-45.58,-72.07,75,62,57.2,5.82,1607615984
meulaboh,ID,4.14,96.13,100,92,74.35,9.57,1607615984
denpasar,ID,-8.65,115.22,20,83,84.2,5.82,1607615985
batagay-alyta,RU,67.8,130.41,98,85,-24.84,2.08,1607615985
champerico,GT,14.3,-91.92,75,69,80.6,4.7,1607615985
atherton,GB,53.52,-2.49,100,75,46.99,7.0,1607615985
murray bridge,US,40.67,-111.89,1,92,28.0,1.97,1607615985
kharp,RU,66.8,65.81,100,93,4.23,0.74,1607615986
riyadh,SA,24.69,46.72,0,37,66.2,6.93,1607615827
kisangani,CD,0.52,25.2,100,92,75.67,2.93,1607615986
ossora,RU,59.24,163.07,100,97,23.52,15.86,1607615986
uruguaiana,BR,-29.75,-57.09,0,48,86.0,13.87,1607615986
menongue,AO,-14.66,17.69,97,73,70.77,11.65,1607615987
jiamusi,CN,46.83,130.35,65,92,9.09,6.55,1607615987
gat,IL,31.61,34.76,69,35,66.0,4.65,1607615987
chardara,KZ,41.25,67.97,62,85,33.67,8.39,1607615987
prado,BR,-17.34,-39.22,1,63,84.0,17.38,1607615987
mitu,CO,1.2,-70.17,94,53,88.75,4.23,1607615988
puerto vallarta,ES,36.59,-6.23,40,88,64.4,17.22,1607615973
aketi,CD,2.74,23.78,100,56,83.26,2.68,1607615988
gizo,SB,-8.1,156.84,90,64,82.9,4.7,1607615988
shushtar,IR,32.05,48.86,0,54,62.87,1.63,1607615988
bintulu,MY,3.17,113.03,40,100,75.2,4.7,1607615989
shingu,JP,33.73,135.98,44,67,48.02,5.61,1607615989
saint-philippe,RE,-21.36,55.77,20,78,75.2,24.16,1607615989
trairi,BR,-3.28,-39.27,60,55,87.19,13.06,1607615989
kuusamo,FI,65.97,29.18,90,92,26.6,10.29,1607615989
lesnica,RS,44.65,19.31,90,93,42.01,2.24,1607615989
labuhan,ID,-6.88,112.21,100,84,80.87,12.41,1607615990
esperance,AU,-33.87,121.9,40,82,62.6,17.22,1607615990
lubumbashi,CD,-11.66,27.48,99,94,67.23,4.74,1607615882
palmer,US,42.16,-72.33,75,56,44.01,6.93,1607615990
san pedro,ML,13.3,-4.9,22,10,98.55,9.22,1607615943
ahuimanu,US,21.44,-157.84,40,94,71.6,5.08,1607615991
presidente medici,BR,-29.95,-50.11,8,69,75.0,10.16,1607615991
vila velha,PT,42.03,-8.16,100,96,54.0,5.99,1607615953
hasaki,JP,35.73,140.83,75,100,41.0,4.7,1607615991
mangrol,IN,21.12,70.12,80,76,76.15,5.64,1607615991
evensk,RU,61.95,159.23,100,91,14.07,16.96,1607615992
litovko,RU,49.24,135.17,83,93,11.97,2.57,1607615992
charters towers,US,38.57,-83.43,1,75,48.99,3.74,1607615992
luanda,AO,-8.84,13.23,20,66,84.2,13.87,1607615992
mitsamiouli,KM,-11.38,43.28,83,72,82.49,7.96,1607615992
rapar,IN,23.57,70.63,16,32,78.94,7.05,1607615992
kefalos,GR,36.75,26.96,40,63,64.4,19.46,1607615993
karratha,AU,-20.74,116.85,100,81,77.67,12.68,1607615993
pringsewu,ID,-5.36,104.97,96,90,74.79,2.57,1607615993
berlevag,NO,70.86,29.09,75,82,33.8,6.93,1607615993
maragogi,BR,-9.01,-35.22,50,66,83.55,14.29,1607615994
baruun-urt,MN,46.68,113.28,9,83,-3.75,5.12,1607615994
sabang,ID,5.89,95.32,95,79,80.73,5.73,1607615994
quezon,PH,7.73,125.1,10,88,73.26,2.59,1607615994
namibe,AO,-15.2,12.15,75,73,73.4,16.11,1607615994
chihuahua,MX,28.5,-106.0,40,45,60.01,15.28,1607615737
okahandja,NA,-21.98,16.92,0,10,88.95,23.47,1607615995
waddan,LY,29.16,16.14,0,32,60.03,8.84,1607615995
marystown,CA,47.17,-55.15,95,73,39.25,2.59,1607615995
sorland,NO,67.67,12.69,40,81,44.6,8.05,1607615995
palu,ID,-0.89,119.87,98,80,79.05,0.98,1607615995
saint-francois,FR,46.42,3.91,90,75,42.8,2.24,1607615996
caravelas,BR,-17.71,-39.25,4,60,85.3,14.43,1607615996
zvishavane,ZW,-20.33,30.07,74,44,83.16,4.94,1607615996
shubarshi,KZ,48.59,57.19,63,96,13.33,4.72,1607615996
natal,BR,-5.79,-35.21,75,62,86.0,13.87,1607615996
ewa beach,ID,-8.62,122.51,32,85,79.12,6.67,1607615997
xiuyan,CN,40.29,123.27,0,88,30.22,2.59,1607615997
qaqortoq,GL,60.72,-46.03,5,34,21.2,1.12,1607615997
daru,PG,-9.08,143.21,100,81,79.52,4.76,1607615997
moussoro,TD,13.64,16.49,6,11,92.12,8.84,1607615998
korla,CN,41.76,86.15,5,91,23.77,1.77,1607615998
rajgarh,IN,28.63,75.38,0,39,68.59,6.89,1607615998
miami,US,25.77,-80.19,40,59,66.0,10.29,1607615369
port macquarie,CD,-7.03,29.76,100,72,76.08,2.82,1607615931
tecoanapa,MX,16.52,-98.75,77,64,83.95,1.39,1607615999
oksfjord,NO,70.24,22.35,75,86,39.2,10.29,1607615999
artesia,US,33.87,-118.08,40,66,51.8,3.8,1607615999
odweyne,SO,9.41,45.06,64,44,69.22,14.0,1607615999
akureyri,IS,65.68,-18.09,75,80,39.2,5.82,1607615999
port-gentil,GA,-0.72,8.78,40,74,84.2,13.87,1607615783
morant bay,JM,17.9,-76.43,75,69,82.4,4.7,1607616001
loiza,PR,18.43,-65.88,40,74,82.4,6.93,1607616004
zhigansk,RU,66.77,123.37,100,84,-29.63,7.27,1607616006
nemuro,JP,43.32,145.57,35,75,39.29,11.18,1607616015
samarai,PG,-10.62,150.67,35,76,81.37,6.24,1607616016
behbahan,IR,30.6,50.24,0,62,55.4,6.82,1607616020
leshukonskoye,RU,64.9,45.76,2,94,19.15,7.81,1607616021
kemi,FI,65.86,24.82,90,96,33.8,13.87,1607616021
rocha,UY,-34.48,-54.33,0,34,91.33,8.9,1607616022
yakeshi,CN,49.28,120.73,20,86,-5.91,11.56,1607615801
sydney mines,AU,-33.87,151.21,100,64,64.99,13.0,1607615877
ullapool,GB,57.9,-5.16,98,58,43.0,5.99,1607616022
zhanaozen,KZ,43.3,52.8,2,91,20.46,7.99,1607616023
cagayan de tawi-tawi,PH,6.97,118.51,31,80,84.0,8.75,1607616023
sicuani,PE,-14.27,-71.23,81,32,62.06,3.91,1607616024
polunochnoye,RU,60.87,60.42,46,85,15.94,5.37,1607616024
